EntityNumber,EntityContact,ContactType,Value
0211.204.929,ENT,TEL,03 232 08 48
0211.204.929,ENT,EMAIL,par29@scarlet.be
0211.206.117,ENT,EMAIL,erikm.desmet@gmail.com
0211.207.701,ENT,EMAIL,kerkbestuursintamandus@gmail.com
0211.211.461,ENT,TEL,03 236 31 15
0211.211.461,ENT,TEL,0485 16 91 65
0211.211.461,ENT,EMAIL,ludo.schoonjans@skynet.be
0403.812.681,ENT,EMAIL,info@thepharm.be
0403.812.681,ENT,WEB,www.thepharm.be
0404.642.230,ENT,EMAIL,glas-service@hotmail.be
0404.642.230,ENT,WEB,glas-service.be
0404.668.162,ENT,TEL,032335418
0404.668.162,ENT,EMAIL,info@thissen.be
0404.668.162,ENT,WEB,www.amusement.be
0404.668.162,ENT,WEB,www.thissen.be
0404.788.126,ENT,EMAIL,mail@buildragersnatie.be
0404.788.126,ENT,WEB,www.oudebuildragersnatie.be
0404.982.918,ENT,EMAIL,info@raymakersbvba.be
0404.982.918,ENT,WEB,www.raymakersbvba.be
0420.405.225,ENT,EMAIL,kathy.colson@adoptiehuis.be
0425.110.022,ENT,EMAIL,tonychan.sunwah@gmail.com
0425.110.022,ENT,WEB,www.sun-wah.be
0425.591.359,ENT,TEL,032135412
0425.591.359,ENT,EMAIL,info@antwerpso.be 
0425.591.359,ENT,WEB,www.antwerpsymphonyorchestra.be
0431.666.529,ENT,TEL,0494505665
0431.666.529,ENT,EMAIL,iwan.hardies@siteshow.be
0434.790.424,ENT,EMAIL,info@mimesis.be
0434.790.424,ENT,WEB,www.mimesis.be
0438.173.744,ENT,EMAIL,bruno.dekoning@bureau-adam.be
0438.173.744,ENT,WEB,www.bureau-adam.be
0439.068.916,ENT,TEL,0475272114
0439.068.916,ENT,EMAIL,rudy@recrimmo.be
0448.065.368,ENT,EMAIL,axivzw@hotmail.be
0448.065.368,ENT,WEB,riksjarijdenvlaanderen.wordpress.com/
0448.207.009,ENT,EMAIL,stephan.goovaerts@bgr.be
0455.097.670,ENT,EMAIL,info@activeholidays.be
0457.345.892,ENT,EMAIL,transdal@telenet.be
0459.148.015,ENT,TEL,0476551699
0459.148.015,ENT,EMAIL,sg@galaxit.be
0461.046.146,ENT,EMAIL,tonychan.sunwah@gmail.com
0462.781.060,ENT,EMAIL,vera@desomer.be
0463.343.858,ENT,EMAIL,scorpesbvba@hotmail.com
0464.819.149,ENT,EMAIL,info@zomerklap.be
0469.609.068,ENT,EMAIL,paesen.jaak@skynet.be
0472.675.951,ENT,TEL,0472 787 185
0472.675.951,ENT,EMAIL,Info@latinmusic.be
0472.675.951,ENT,WEB,www.latinmusic.be
0476.751.436,ENT,EMAIL,temor2003@hotmail.com
0479.408.642,ENT,WEB,www.eventsfactory.be
0479.535.930,ENT,EMAIL,jorta@pandora.be
0480.206.022,ENT,TEL,032164004
0480.206.022,ENT,EMAIL,info@agrafa.be
0480.206.022,ENT,WEB,www.agrafa.be
0508.810.134,ENT,EMAIL,info@beneluxms.be
0508.810.134,ENT,WEB,www.beneluxms.be
0518.889.919,ENT,EMAIL,info@nicejob.be
0534.593.823,ENT,TEL,0484328419
0540.805.187,ENT,EMAIL,gac@outlook.be
0542.496.749,ENT,TEL,015286100
0542.496.749,ENT,EMAIL,geert.verschooten@goed.be
